'Elapsed time','II'
0,-0.014
0.001,0.094
0.002,0.093
0.003,0.094
0.004,0.094
0.005,0.094
0.006,0.095
0.007,0.097
0.008,0.094
0.009,0.094
0.01,0.094
0.011,0.094
0.012,0.098
0.013,0.1
0.014,0.097
0.015,0.1
0.016,0.1
0.017,0.097
0.018,0.098
0.019,0.097
0.02,0.098
0.021,0.097
0.022,0.097
0.023,0.097
0.024,0.098
0.025,0.1
0.026,0.096
0.027,0.091
0.028,0.091
0.029,0.088
0.03,0.08
0.031,0.075
0.032,0.078
0.033,0.078
0.034,0.076
0.035,0.075
0.036,0.073
0.037,0.075
0.038,0.071
0.039,0.069
0.04,0.067
0.041,0.066
0.042,0.061
0.043,0.053
0.044,0.05
0.045,0.047
0.046,0.048
0.047,0.047
0.048,0.039
0.049,0.034
0.05,0.031
0.051,0.031
0.052,0.032
0.053,0.031
0.054,0.028
0.055,0.025
0.056,0.025
0.057,0.022
0.058,0.019
0.059,0.016
0.06,0.014
0.061,0.012
0.062,0.011
0.063,0.009
0.064,0.011
0.065,0.009
0.066,0.011
0.067,0.009
0.068,0.003
0.069,0
0.07,-0.004
0.071,-0.003
0.072,-0.002
0.073,-0.003
0.074,-0.003
0.075,-0.006
0.076,-0.008
0.077,-0.012
0.078,-0.011
0.079,-0.012
0.08,-0.017
0.081,-0.019
0.082,-0.023
0.083,-0.025
0.084,-0.025
0.085,-0.028
0.086,-0.021
0.087,-0.016
0.088,-0.014
0.089,-0.012
0.09,-0.012
0.091,-0.012
0.092,-0.019
0.093,-0.025
0.094,-0.028
0.095,-0.031
0.096,-0.03
0.097,-0.031
0.098,-0.036
0.099,-0.041
0.1,-0.041
0.101,-0.041
0.102,-0.036
0.103,-0.037
0.104,-0.037
0.105,-0.041
0.106,-0.042
0.107,-0.044
0.108,-0.047
0.109,-0.047
0.11,-0.047
0.111,-0.044
0.112,-0.043
0.113,-0.041
0.114,-0.039
0.115,-0.037
0.116,-0.042
0.117,-0.044
0.118,-0.044
0.119,-0.044
0.12,-0.047
0.121,-0.05
0.122,-0.054
0.123,-0.053
0.124,-0.049
0.125,-0.044
0.126,-0.041
0.127,-0.041
0.128,-0.039
0.129,-0.041
0.13,-0.045
0.131,-0.047
0.132,-0.05
0.133,-0.05
0.134,-0.05
0.135,-0.05
0.136,-0.049
0.137,-0.05
0.138,-0.05
0.139,-0.053
0.14,-0.053
0.141,-0.053
0.142,-0.056
0.143,-0.059
0.144,-0.059
0.145,-0.059
0.146,-0.059
0.147,-0.056
0.148,-0.055
