'Elapsed time','II'
'seconds','mV'
0.000,-0.046
0.001,-0.022
0.002,-0.020
0.003,-0.019
0.004,-0.020
0.005,-0.019
0.006,-0.019
0.007,-0.019
0.008,-0.018
0.009,-0.012
0.010,-0.012
0.011,-0.012
0.012,-0.012
0.013,-0.012
0.014,-0.016
0.015,-0.016
0.016,-0.017
0.017,-0.019
0.018,-0.016
0.019,-0.012
0.020,-0.011
0.021,0.006
0.022,0.026
0.023,0.044
0.024,0.063
0.025,0.081
0.026,0.102
0.027,0.113
0.028,0.127
0.029,0.128
0.030,0.133
0.031,0.128
0.032,0.125
0.033,0.122
0.034,0.121
0.035,0.119
0.036,0.114
0.037,0.113
0.038,0.108
0.039,0.109
0.040,0.111
0.041,0.109
0.042,0.109
0.043,0.103
0.044,0.099
0.045,0.091
0.046,0.081
0.047,0.084
0.048,0.086
0.049,0.084
0.050,0.081
0.051,0.072
0.052,0.069
0.053,0.066
0.054,0.059
0.055,0.063
0.056,0.056
0.057,0.059
0.058,0.063
0.059,0.063
0.060,0.063
0.061,0.059
0.062,0.056
0.063,0.056
0.064,0.053
0.065,0.059
0.066,0.059
0.067,0.059
0.068,0.061
0.069,0.053
0.070,0.044
0.071,0.031
0.072,0.019
0.073,0.012
0.074,0.000
0.075,-0.009
0.076,-0.014
0.077,-0.016
0.078,-0.019
0.079,-0.019
0.080,-0.022
0.081,-0.028
0.082,-0.031
0.083,-0.034
0.084,-0.034
0.085,-0.034
0.086,-0.036
0.087,-0.034
0.088,-0.042
0.089,-0.044
0.090,-0.047
0.091,-0.047
0.092,-0.048
0.093,-0.050
0.094,-0.049
0.095,-0.050
0.096,-0.051
0.097,-0.056
0.098,-0.061
0.099,-0.063
0.100,-0.059
0.101,-0.056
0.102,-0.055
0.103,-0.053
0.104,-0.057
0.105,-0.059
0.106,-0.063
0.107,-0.066
0.108,-0.069
0.109,-0.069
0.110,-0.072
0.111,-0.072
0.112,-0.072
0.113,-0.075
0.114,-0.071
0.115,-0.072
0.116,-0.079
0.117,-0.084
0.118,-0.077
0.119,-0.075
0.120,-0.075
0.121,-0.075
0.122,-0.075
0.123,-0.075
0.124,-0.074
0.125,-0.072
0.126,-0.074
0.127,-0.072
0.128,-0.072
0.129,-0.072
0.130,-0.072
0.131,-0.075
0.132,-0.072
0.133,-0.072
0.134,-0.073
0.135,-0.075
0.136,-0.075
0.137,-0.075
0.138,-0.078
0.139,-0.081
0.140,-0.083
0.141,-0.084
0.142,-0.081
0.143,-0.078
0.144,-0.078
0.145,-0.075
0.146,-0.075
0.147,-0.072
0.148,-0.073
0.149,-0.072
0.150,-0.071
0.151,-0.069
0.152,-0.068
0.153,-0.069
0.154,-0.075
0.155,-0.084
0.156,-0.091
0.157,-0.103
0.158,-0.108
0.159,-0.109
0.160,-0.113
0.161,-0.103
0.162,-0.089
0.163,-0.075
0.164,-0.056
0.165,-0.031
0.166,-0.014
0.167,0.009
0.168,0.036
0.169,0.047
0.170,0.059
0.171,0.078
0.172,0.101
0.173,0.128
0.174,0.158
0.175,0.206
0.176,0.263
0.177,0.331
0.178,0.403
0.179,0.472
0.180,0.541
0.181,0.609
0.182,0.675
0.183,0.744
0.184,0.799
0.185,0.806
0.186,0.817
0.187,0.850
0.188,0.880
0.189,0.950
0.190,1.024
0.191,1.056
0.192,1.061
0.193,0.994
0.194,0.908
0.195,0.775
0.196,0.656
0.197,0.534
0.198,0.404
0.199,0.331
0.200,0.263
0.201,0.206
0.202,0.161
0.203,0.131
0.204,0.100
0.205,0.072
0.206,0.038
0.207,0.009
0.208,-0.012
0.209,-0.022
0.210,-0.038
0.211,-0.038
0.212,-0.031
0.213,-0.028
0.214,-0.018
0.215,-0.009
0.216,0.001
0.217,0.022
0.218,0.044
0.219,0.056
0.220,0.069
0.221,0.075
0.222,0.078
0.223,0.075
0.224,0.078
0.225,0.072
0.226,0.063
0.227,0.053
0.228,0.047
0.229,0.041
0.230,0.039
0.231,0.034
0.232,0.026
0.233,0.022
0.234,0.019
0.235,0.012
0.236,0.003
0.237,0.000
0.238,-0.006
0.239,-0.009
0.240,-0.011
0.241,-0.012
0.242,-0.011
0.243,-0.012
0.244,-0.014
0.245,-0.012
0.246,-0.016
0.247,-0.016
0.248,-0.014
0.249,-0.019
0.250,-0.023
0.251,-0.025
0.252,-0.025
0.253,-0.022
0.254,-0.023
0.255,-0.025
0.256,-0.029
0.257,-0.028
0.258,-0.029
0.259,-0.028
0.260,-0.028
0.261,-0.031
0.262,-0.031
0.263,-0.031
0.264,-0.033
0.265,-0.031
0.266,-0.036
0.267,-0.034
0.268,-0.031
0.269,-0.028
0.270,-0.029
0.271,-0.031
0.272,-0.031
0.273,-0.031
0.274,-0.027
0.275,-0.022
0.276,-0.021
0.277,-0.019
0.278,-0.019
0.279,-0.022
0.280,-0.023
0.281,-0.028
0.282,-0.026
0.283,-0.028
0.284,-0.029
0.285,-0.031
0.286,-0.034
0.287,-0.034
0.288,-0.033
0.289,-0.034
0.290,-0.034
0.291,-0.034
0.292,-0.036
0.293,-0.034
0.294,-0.031
0.295,-0.028
0.296,-0.031
0.297,-0.028
0.298,-0.028
0.299,-0.028
0.300,-0.029
0.301,-0.031
0.302,-0.028
0.303,-0.025
0.304,-0.023
0.305,-0.025
0.306,-0.024
0.307,-0.019
0.308,-0.021
0.309,-0.019
0.310,-0.019
0.311,-0.019
0.312,-0.018
0.313,-0.016
0.314,-0.016
0.315,-0.012
0.316,-0.016
0.317,-0.016
0.318,-0.014
0.319,-0.016
0.320,-0.016
0.321,-0.012
0.322,-0.012
0.323,-0.012
0.324,-0.012
0.325,-0.012
0.326,-0.012
0.327,-0.012
0.328,-0.014
0.329,-0.016
0.330,-0.012
0.331,-0.012
0.332,-0.014
0.333,-0.016
0.334,-0.016
0.335,-0.016
0.336,-0.014
0.337,-0.012
0.338,-0.009
0.339,-0.009
0.340,-0.007
0.341,-0.009
0.342,-0.009
0.343,-0.009
0.344,-0.008
0.345,-0.006
0.346,-0.011
0.347,-0.009
0.348,-0.005
0.349,0.000
0.350,0.001
0.351,0.003
0.352,0.003
0.353,0.003
0.354,-0.001
0.355,-0.003
0.356,-0.003
0.357,-0.003
0.358,-0.002
0.359,0.000
0.360,-0.001
0.361,-0.003
0.362,-0.001
0.363,-0.003
0.364,-0.002
0.365,0.003
0.366,0.003
0.367,0.003
0.368,0.002
0.369,0.000
0.370,0.001
0.371,0.003
0.372,0.002
0.373,0.000
0.374,0.000
0.375,-0.003
0.376,-0.003
0.377,-0.003
0.378,0.001
0.379,0.003
0.380,0.006
0.381,0.009
0.382,0.008
0.383,0.009
0.384,0.005
0.385,0.006
0.386,0.008
0.387,0.009
0.388,0.009
0.389,0.009
0.390,0.009
0.391,0.009
0.392,0.008
0.393,0.009
0.394,0.005
0.395,0.006
0.396,0.011
0.397,0.012
0.398,0.022
0.399,0.025
0.400,0.026
0.401,0.025
0.402,0.024
0.403,0.022
0.404,0.018
0.405,0.016
0.406,0.019
0.407,0.016
0.408,0.017
0.409,0.019
0.410,0.021
0.411,0.019
0.412,0.020
0.413,0.019
0.414,0.022
0.415,0.022
0.416,0.023
0.417,0.025
0.418,0.025
0.419,0.028
0.420,0.025
0.421,0.025
0.422,0.027
0.423,0.025
0.424,0.025
0.425,0.025
0.426,0.021
0.427,0.022
0.428,0.025
0.429,0.022
0.430,0.028
0.431,0.028
0.432,0.024
0.433,0.025
0.434,0.025
0.435,0.025
0.436,0.025
0.437,0.025
0.438,0.027
0.439,0.022
0.440,0.025
0.441,0.025
0.442,0.024
0.443,0.022
0.444,0.021
0.445,0.022
0.446,0.025
0.447,0.028
0.448,0.024
0.449,0.022
0.450,0.025
0.451,0.025
0.452,0.025
0.453,0.025
0.454,0.026
0.455,0.028
0.456,0.027
0.457,0.025
0.458,0.026
0.459,0.028
0.460,0.027
0.461,0.028
0.462,0.033
0.463,0.031
0.464,0.030
0.465,0.028
0.466,0.031
0.467,0.028
0.468,0.028
0.469,0.028
0.470,0.030
0.471,0.028
0.472,0.028
0.473,0.028
0.474,0.029
0.475,0.031
0.476,0.027
0.477,0.028
0.478,0.030
0.479,0.028
0.480,0.029
0.481,0.031
0.482,0.033
0.483,0.031
0.484,0.034
0.485,0.034
0.486,0.030
0.487,0.031
0.488,0.030
0.489,0.031
0.490,0.029
0.491,0.031
0.492,0.030
0.493,0.028
0.494,0.029
0.495,0.034
0.496,0.038
0.497,0.041
0.498,0.041
0.499,0.038
0.500,0.039
0.501,0.041
0.502,0.044
0.503,0.047
0.504,0.046
0.505,0.047
0.506,0.047
0.507,0.047
0.508,0.048
0.509,0.053
0.510,0.047
0.511,0.050
0.512,0.051
0.513,0.056
0.514,0.052
0.515,0.053
0.516,0.053
0.517,0.056
0.518,0.057
0.519,0.059
0.520,0.064
0.521,0.069
0.522,0.066
0.523,0.066
0.524,0.068
0.525,0.066
0.526,0.066
0.527,0.066
0.528,0.067
0.529,0.072
0.530,0.078
0.531,0.081
0.532,0.078
0.533,0.078
0.534,0.080
0.535,0.081
0.536,0.089
0.537,0.091
0.538,0.093
0.539,0.094
0.540,0.096
0.541,0.094
0.542,0.097
0.543,0.097
0.544,0.099
0.545,0.100
0.546,0.100
0.547,0.103
0.548,0.104
0.549,0.109
0.550,0.111
0.551,0.113
0.552,0.119
0.553,0.122
0.554,0.119
0.555,0.122
0.556,0.122
0.557,0.122
0.558,0.123
0.559,0.128
0.560,0.129
0.561,0.134
0.562,0.141
0.563,0.141
0.564,0.145
0.565,0.147
0.566,0.146
0.567,0.147
0.568,0.151
0.569,0.153
0.570,0.150
0.571,0.150
0.572,0.150
0.573,0.150
0.574,0.153
0.575,0.153
0.576,0.153
0.577,0.153
0.578,0.156
0.579,0.153
0.580,0.154
0.581,0.159
0.582,0.156
0.583,0.159
0.584,0.158
0.585,0.159
0.586,0.159
0.587,0.159
0.588,0.155
0.589,0.156
0.590,0.156
0.591,0.156
0.592,0.156
0.593,0.153
0.594,0.152
0.595,0.150
0.596,0.151
0.597,0.150
0.598,0.146
0.599,0.144
0.600,0.142
0.601,0.141
0.602,0.142
0.603,0.141
0.604,0.141
0.605,0.141
0.606,0.142
0.607,0.141
0.608,0.139
0.609,0.137
0.610,0.134
0.611,0.134
0.612,0.141
0.613,0.137
0.614,0.133
0.615,0.128
0.616,0.124
0.617,0.119
0.618,0.119
0.619,0.116
0.620,0.117
0.621,0.116
0.622,0.113
0.623,0.106
0.624,0.104
0.625,0.100
0.626,0.099
0.627,0.097
0.628,0.089
0.629,0.087
0.630,0.091
0.631,0.087
0.632,0.087
0.633,0.084
0.634,0.080
0.635,0.078
0.636,0.076
0.637,0.075
0.638,0.071
0.639,0.069
0.640,0.070
0.641,0.069
0.642,0.066
0.643,0.063
0.644,0.063
0.645,0.059
0.646,0.056
0.647,0.053
0.648,0.050
0.649,0.047
0.650,0.041
0.651,0.034
0.652,0.033
0.653,0.031
0.654,0.027
0.655,0.025
0.656,0.023
0.657,0.025
0.658,0.021
0.659,0.016
0.660,0.014
0.661,0.009
0.662,0.012
0.663,0.012
0.664,0.008
0.665,0.009
0.666,0.006
0.667,0.003
0.668,0.004
0.669,0.003
0.670,0.004
0.671,0.003
0.672,-0.001
0.673,-0.003
0.674,0.000
0.675,0.000
0.676,-0.007
0.677,-0.009
0.678,-0.009
0.679,-0.009
0.680,-0.011
0.681,-0.012
0.682,-0.012
0.683,-0.016
0.684,-0.016
0.685,-0.016
0.686,-0.012
0.687,-0.012
0.688,-0.016
0.689,-0.016
0.690,-0.016
0.691,-0.016
0.692,-0.016
0.693,-0.019
0.694,-0.016
0.695,-0.019
0.696,-0.019
0.697,-0.019
0.698,-0.022
0.699,-0.022
0.700,-0.025
0.701,-0.022
0.702,-0.020
0.703,-0.025
0.704,-0.027
0.705,-0.025
0.706,-0.026
0.707,-0.031
0.708,-0.029
0.709,-0.031
0.710,-0.030
0.711,-0.031
0.712,-0.030
0.713,-0.028
0.714,-0.029
0.715,-0.031
0.716,-0.030
0.717,-0.028
0.718,-0.030
0.719,-0.028
0.720,-0.029
0.721,-0.031
0.722,-0.031
0.723,-0.028
0.724,-0.031
0.725,-0.031
0.726,-0.031
0.727,-0.031
0.728,-0.031
0.729,-0.031
0.730,-0.034
0.731,-0.038
0.732,-0.034
0.733,-0.034
0.734,-0.031
0.735,-0.028
0.736,-0.031
0.737,-0.031
0.738,-0.031
0.739,-0.028
0.740,-0.028
0.741,-0.031
0.742,-0.031
0.743,-0.031
0.744,-0.033
0.745,-0.038
0.746,-0.033
0.747,-0.034
0.748,-0.038
0.749,-0.038
0.750,-0.038
0.751,-0.044
0.752,-0.044
0.753,-0.044
0.754,-0.041
0.755,-0.038
0.756,-0.036
0.757,-0.041
0.758,-0.042
0.759,-0.044
0.760,-0.042
0.761,-0.041
0.762,-0.041
0.763,-0.041
0.764,-0.038
0.765,-0.034
0.766,-0.039
0.767,-0.041
0.768,-0.042
0.769,-0.044
0.770,-0.042
0.771,-0.041
0.772,-0.045
0.773,-0.044
0.774,-0.036
0.775,-0.034
0.776,-0.034
0.777,-0.034
0.778,-0.033
0.779,-0.034
0.780,-0.039
0.781,-0.041
0.782,-0.041
0.783,-0.041
0.784,-0.042
0.785,-0.047
0.786,-0.044
0.787,-0.044
0.788,-0.041
0.789,-0.041
0.790,-0.045
0.791,-0.044
0.792,-0.038
0.793,-0.038
0.794,-0.042
0.795,-0.044
0.796,-0.044
0.797,-0.044
0.798,-0.045
0.799,-0.044
0.800,-0.047
0.801,-0.047
0.802,-0.044
0.803,-0.047
0.804,-0.047
0.805,-0.047
0.806,-0.051
0.807,-0.050
0.808,-0.047
0.809,-0.044
0.810,-0.042
0.811,-0.041
0.812,-0.041
0.813,-0.041
0.814,-0.039
0.815,-0.041
0.816,-0.042
0.817,-0.044
0.818,-0.041
0.819,-0.044
0.820,-0.041
0.821,-0.038
0.822,-0.038
0.823,-0.038
0.824,-0.041
0.825,-0.041
0.826,-0.039
0.827,-0.047
0.828,-0.048
0.829,-0.047
0.830,-0.046
0.831,-0.044
0.832,-0.044
0.833,-0.044
0.834,-0.041
0.835,-0.044
0.836,-0.044
0.837,-0.044
0.838,-0.044
0.839,-0.044
0.840,-0.048
0.841,-0.047
0.842,-0.047
0.843,-0.047
0.844,-0.045
0.845,-0.047
0.846,-0.050
0.847,-0.050
0.848,-0.047
0.849,-0.044
0.850,-0.047
0.851,-0.050
0.852,-0.047
0.853,-0.047
0.854,-0.047
0.855,-0.047
0.856,-0.047
0.857,-0.047
0.858,-0.044
0.859,-0.047
0.860,-0.047
0.861,-0.047
0.862,-0.045
0.863,-0.050
0.864,-0.051
0.865,-0.053
0.866,-0.053
0.867,-0.053
0.868,-0.050
0.869,-0.050
0.870,-0.052
0.871,-0.050
0.872,-0.053
0.873,-0.053
0.874,-0.050
0.875,-0.050
0.876,-0.051
0.877,-0.056
0.878,-0.056
0.879,-0.056
0.880,-0.053
0.881,-0.053
0.882,-0.053
0.883,-0.056
0.884,-0.055
0.885,-0.053
0.886,-0.050
0.887,-0.050
0.888,-0.050
0.889,-0.050
0.890,-0.051
0.891,-0.053
0.892,-0.052
0.893,-0.053
0.894,-0.054
0.895,-0.053
0.896,-0.053
0.897,-0.053
0.898,-0.056
0.899,-0.053
0.900,-0.053
0.901,-0.056
0.902,-0.052
0.903,-0.050
0.904,-0.051
0.905,-0.053
0.906,-0.050
0.907,-0.053
0.908,-0.056
0.909,-0.053
0.910,-0.056
0.911,-0.063
0.912,-0.067
0.913,-0.066
0.914,-0.063
0.915,-0.063
0.916,-0.063
0.917,-0.063
0.918,-0.061
0.919,-0.059
0.920,-0.058
0.921,-0.056
0.922,-0.053
0.923,-0.056
0.924,-0.056
0.925,-0.056
0.926,-0.056
0.927,-0.056
0.928,-0.059
0.929,-0.063
0.930,-0.061
0.931,-0.063
0.932,-0.064
0.933,-0.063
0.934,-0.063
0.935,-0.063
0.936,-0.066
0.937,-0.063
0.938,-0.061
0.939,-0.063
0.940,-0.061
0.941,-0.059
0.942,-0.063
0.943,-0.059
0.944,-0.061
0.945,-0.063
0.946,-0.064
0.947,-0.066
0.948,-0.066
0.949,-0.066
0.950,-0.059
0.951,-0.059
0.952,-0.058
0.953,-0.056
0.954,-0.056
0.955,-0.059
0.956,-0.061
0.957,-0.066
0.958,-0.068
0.959,-0.066
0.960,-0.067
0.961,-0.066
0.962,-0.063
0.963,-0.063
0.964,-0.066
0.965,-0.066
0.966,-0.066
0.967,-0.066
0.968,-0.067
0.969,-0.069
0.970,-0.063
0.971,-0.063
0.972,-0.063
0.973,-0.063
0.974,-0.063
0.975,-0.063
0.976,-0.070
0.977,-0.069
0.978,-0.069
0.979,-0.072
0.980,-0.064
0.981,-0.063
0.982,-0.069
0.983,-0.066
