'Elapsed time','II'
'seconds','mV'
0.000,-0.084
0.001,-0.066
0.002,-0.070
0.003,-0.072
0.004,-0.073
0.005,-0.075
0.006,-0.071
0.007,-0.072
0.008,-0.075
0.009,-0.075
0.010,-0.078
0.011,-0.084
0.012,-0.086
0.013,-0.084
0.014,-0.083
0.015,-0.084
0.016,-0.084
0.017,-0.084
0.018,-0.081
0.019,-0.084
0.020,-0.088
0.021,-0.088
0.022,-0.084
0.023,-0.081
0.024,-0.080
0.025,-0.075
0.026,-0.079
0.027,-0.081
0.028,-0.080
0.029,-0.081
0.030,-0.075
0.031,-0.072
0.032,-0.075
0.033,-0.075
0.034,-0.075
0.035,-0.081
0.036,-0.081
0.037,-0.078
0.038,-0.081
0.039,-0.081
0.040,-0.081
0.041,-0.081
0.042,-0.083
0.043,-0.081
0.044,-0.078
0.045,-0.075
0.046,-0.072
0.047,-0.069
0.048,-0.063
0.049,-0.059
0.050,-0.055
0.051,-0.047
0.052,-0.041
0.053,-0.038
0.054,-0.034
0.055,-0.031
0.056,-0.022
0.057,-0.019
0.058,-0.016
0.059,-0.013
0.060,-0.014
0.061,-0.013
0.062,-0.003
0.063,0.003
0.064,0.005
0.065,0.006
0.066,0.011
0.067,0.013
0.068,0.019
0.069,0.022
0.070,0.014
0.071,0.016
0.072,0.019
0.073,0.019
0.074,0.019
0.075,0.019
0.076,0.019
0.077,0.019
0.078,0.020
0.079,0.025
0.080,0.031
0.081,0.034
0.082,0.041
0.083,0.047
0.084,0.050
0.085,0.056
0.086,0.059
0.087,0.059
0.088,0.063
0.089,0.069
0.090,0.086
0.091,0.100
0.092,0.112
0.093,0.122
0.094,0.129
0.095,0.144
0.096,0.156
0.097,0.166
0.098,0.172
0.099,0.175
0.100,0.167
0.101,0.166
0.102,0.162
0.103,0.162
0.104,0.156
0.105,0.156
0.106,0.156
0.107,0.153
0.108,0.149
0.109,0.147
0.110,0.142
0.111,0.144
0.112,0.139
0.113,0.134
0.114,0.130
0.115,0.119
0.116,0.112
0.117,0.106
0.118,0.101
0.119,0.100
0.120,0.091
0.121,0.078
0.122,0.066
0.123,0.050
0.124,0.038
0.125,0.025
0.126,0.019
0.127,0.013
0.128,0.013
0.129,0.006
0.130,-0.007
0.131,-0.019
0.132,-0.026
0.133,-0.038
0.134,-0.053
0.135,-0.066
0.136,-0.072
0.137,-0.078
0.138,-0.079
0.139,-0.081
0.140,-0.086
0.141,-0.084
0.142,-0.086
0.143,-0.088
0.144,-0.089
0.145,-0.091
0.146,-0.092
0.147,-0.094
0.148,-0.091
0.149,-0.088
0.150,-0.088
0.151,-0.088
0.152,-0.091
0.153,-0.097
0.154,-0.101
0.155,-0.100
0.156,-0.100
