'Elapsed time','II'
'seconds','mV'
0.000,-0.083
0.001,-0.081
0.002,-0.080
0.003,-0.078
0.004,-0.077
0.005,-0.075
0.006,-0.084
0.007,-0.094
0.008,-0.097
0.009,-0.100
0.010,-0.103
0.011,-0.106
0.012,-0.111
0.013,-0.116
0.014,-0.119
0.015,-0.122
0.016,-0.125
0.017,-0.128
0.018,-0.133
0.019,-0.138
0.020,-0.138
0.021,-0.138
0.022,-0.133
0.023,-0.128
0.024,-0.128
0.025,-0.128
0.026,-0.131
0.027,-0.134
0.028,-0.136
0.029,-0.138
0.030,-0.134
0.031,-0.131
0.032,-0.133
0.033,-0.134
0.034,-0.138
0.035,-0.141
0.036,-0.144
0.037,-0.147
0.038,-0.148
0.039,-0.150
0.040,-0.149
0.041,-0.147
0.042,-0.144
0.043,-0.141
0.044,-0.139
0.045,-0.138
0.046,-0.139
0.047,-0.141
0.048,-0.139
0.049,-0.138
0.050,-0.138
0.051,-0.138
0.052,-0.139
0.053,-0.141
0.054,-0.138
0.055,-0.134
0.056,-0.139
0.057,-0.144
0.058,-0.144
0.059,-0.144
0.060,-0.144
0.061,-0.144
0.062,-0.148
0.063,-0.153
0.064,-0.152
0.065,-0.150
0.066,-0.150
0.067,-0.150
0.068,-0.147
0.069,-0.144
0.070,-0.143
0.071,-0.144
0.072,-0.141
0.073,-0.141
0.074,-0.144
0.075,-0.144
0.076,-0.147
0.077,-0.147
0.078,-0.143
0.079,-0.141
0.080,-0.141
0.081,-0.138
0.082,-0.138
0.083,-0.138
0.084,-0.130
0.085,-0.125
0.086,-0.121
0.087,-0.113
0.088,-0.116
0.089,-0.116
0.090,-0.119
0.091,-0.122
0.092,-0.123
0.093,-0.125
0.094,-0.123
0.095,-0.125
0.096,-0.122
0.097,-0.122
0.098,-0.122
0.099,-0.125
0.100,-0.129
0.101,-0.134
0.102,-0.134
0.103,-0.134
0.104,-0.125
0.105,-0.116
0.106,-0.116
0.107,-0.116
0.108,-0.119
0.109,-0.119
0.110,-0.119
0.111,-0.116
0.112,-0.109
0.113,-0.106
0.114,-0.099
0.115,-0.094
0.116,-0.097
0.117,-0.094
0.118,-0.097
0.119,-0.103
0.120,-0.099
0.121,-0.097
0.122,-0.091
0.123,-0.088
0.124,-0.092
0.125,-0.094
0.126,-0.098
0.127,-0.097
0.128,-0.089
0.129,-0.084
0.130,-0.081
0.131,-0.078
0.132,-0.078
0.133,-0.075
0.134,-0.078
0.135,-0.075
0.136,-0.075
0.137,-0.072
0.138,-0.066
0.139,-0.066
0.140,-0.070
0.141,-0.072
0.142,-0.069
0.143,-0.072
0.144,-0.071
0.145,-0.069
0.146,-0.063
0.147,-0.056
0.148,-0.056
0.149,-0.056
0.150,-0.054
0.151,-0.056
0.152,-0.054
0.153,-0.056
0.154,-0.053
0.155,-0.053
0.156,-0.058
0.157,-0.053
0.158,-0.055
0.159,-0.053
0.160,-0.053
0.161,-0.053
0.162,-0.050
0.163,-0.050
0.164,-0.047
0.165,-0.047
0.166,-0.047
0.167,-0.047
0.168,-0.046
0.169,-0.047
0.170,-0.045
0.171,-0.047
0.172,-0.051
0.173,-0.056
0.174,-0.063
0.175,-0.066
0.176,-0.063
0.177,-0.056
0.178,-0.056
0.179,-0.056
0.180,-0.056
0.181,-0.059
0.182,-0.059
0.183,-0.059
0.184,-0.058
0.185,-0.053
0.186,-0.050
0.187,-0.050
0.188,-0.050
0.189,-0.050
0.190,-0.044
0.191,-0.047
0.192,-0.047
0.193,-0.050
0.194,-0.051
0.195,-0.053
0.196,-0.053
0.197,-0.050
0.198,-0.052
0.199,-0.053
0.200,-0.050
0.201,-0.050
0.202,-0.057
0.203,-0.063
0.204,-0.064
0.205,-0.066
0.206,-0.061
0.207,-0.053
0.208,-0.050
0.209,-0.053
0.210,-0.050
0.211,-0.050
0.212,-0.049
0.213,-0.044
0.214,-0.041
0.215,-0.038
0.216,-0.039
0.217,-0.044
0.218,-0.045
0.219,-0.044
0.220,-0.038
0.221,-0.034
0.222,-0.031
0.223,-0.028
0.224,-0.025
0.225,-0.022
0.226,-0.024
0.227,-0.025
0.228,-0.021
0.229,-0.019
0.230,-0.016
0.231,-0.016
0.232,-0.019
0.233,-0.022
0.234,-0.011
0.235,-0.003
0.236,-0.003
0.237,0.003
0.238,0.000
0.239,0.000
0.240,-0.003
0.241,-0.003
0.242,-0.005
0.243,-0.006
0.244,-0.006
0.245,-0.006
0.246,-0.009
0.247,-0.009
0.248,-0.008
0.249,-0.009
0.250,-0.012
0.251,-0.019
0.252,-0.020
0.253,-0.022
