'Elapsed time','II'
'seconds','mV'
0.000,-0.028
0.001,-0.025
0.002,-0.022
0.003,-0.019
0.004,-0.016
0.005,-0.012
0.006,-0.012
0.007,-0.012
0.008,-0.014
0.009,-0.016
0.010,-0.017
0.011,-0.019
0.012,-0.019
0.013,-0.019
0.014,-0.018
0.015,-0.016
0.016,-0.017
0.017,-0.019
0.018,-0.016
0.019,-0.012
0.020,-0.011
0.021,-0.009
0.022,-0.009
0.023,-0.009
0.024,-0.011
0.025,-0.012
0.026,-0.012
0.027,-0.012
0.028,-0.012
0.029,-0.012
0.030,-0.011
0.031,-0.009
0.032,-0.011
0.033,-0.012
0.034,-0.012
0.035,-0.012
0.036,-0.012
0.037,-0.012
0.038,-0.008
0.039,-0.003
0.040,-0.003
0.041,-0.003
0.042,-0.003
0.043,-0.003
0.044,-0.004
0.045,-0.006
0.046,-0.006
0.047,-0.006
0.048,-0.006
0.049,-0.006
0.050,-0.003
0.051,0.000
0.052,0.000
0.053,0.000
0.054,0.000
0.055,0.000
0.056,0.001
0.057,0.003
0.058,0.004
0.059,0.006
0.060,0.006
0.061,0.006
0.062,0.008
0.063,0.009
0.064,0.009
0.065,0.009
0.066,0.009
0.067,0.009
0.068,0.008
0.069,0.006
0.070,0.006
0.071,0.006
0.072,0.008
0.073,0.009
0.074,0.009
0.075,0.009
0.076,0.008
0.077,0.006
0.078,0.008
0.079,0.009
0.080,0.008
0.081,0.006
0.082,0.006
0.083,0.006
0.084,0.005
0.085,0.003
0.086,0.008
0.087,0.012
0.088,0.011
0.089,0.009
0.090,0.009
0.091,0.009
0.092,0.008
0.093,0.006
0.094,0.005
0.095,0.003
0.096,0.003
0.097,0.003
0.098,0.003
0.099,0.003
0.100,0.003
0.101,0.003
0.102,0.003
0.103,0.003
0.104,0.004
0.105,0.006
0.106,0.006
0.107,0.006
0.108,0.006
0.109,0.006
0.110,0.008
0.111,0.009
0.112,0.009
0.113,0.009
0.114,0.009
0.115,0.009
0.116,0.009
0.117,0.009
0.118,0.011
0.119,0.012
0.120,0.012
0.121,0.012
0.122,0.011
0.123,0.009
0.124,0.009
0.125,0.009
0.126,0.008
0.127,0.006
0.128,0.006
0.129,0.006
0.130,0.006
0.131,0.006
0.132,0.006
0.133,0.006
0.134,0.011
0.135,0.016
0.136,0.017
0.137,0.019
0.138,0.020
0.139,0.022
0.140,0.022
0.141,0.022
0.142,0.022
0.143,0.022
0.144,0.021
0.145,0.019
0.146,0.018
0.147,0.016
0.148,0.019
0.149,0.022
0.150,0.025
0.151,0.028
0.152,0.028
0.153,0.028
0.154,0.028
0.155,0.028
0.156,0.029
0.157,0.031
0.158,0.031
0.159,0.031
0.160,0.031
0.161,0.031
0.162,0.032
0.163,0.034
0.164,0.038
0.165,0.041
0.166,0.041
0.167,0.041
0.168,0.044
0.169,0.047
0.170,0.050
0.171,0.053
0.172,0.056
0.173,0.059
0.174,0.059
0.175,0.059
0.176,0.066
0.177,0.072
0.178,0.075
0.179,0.078
0.180,0.081
0.181,0.084
0.182,0.084
0.183,0.084
0.184,0.084
0.185,0.084
0.186,0.087
0.187,0.091
0.188,0.095
0.189,0.100
0.190,0.099
0.191,0.097
0.192,0.096
0.193,0.094
0.194,0.095
0.195,0.097
0.196,0.100
0.197,0.103
0.198,0.107
0.199,0.113
0.200,0.117
0.201,0.122
0.202,0.122
0.203,0.122
