'Elapsed time','II'
'seconds','mV'
0.000,-0.005
0.001,-0.006
0.002,-0.008
0.003,-0.009
0.004,-0.008
0.005,-0.006
0.006,-0.006
0.007,-0.006
0.008,-0.008
0.009,-0.009
0.010,-0.009
0.011,-0.009
0.012,-0.005
0.013,0.000
0.014,0.001
0.015,0.003
0.016,0.003
0.017,0.003
0.018,0.003
0.019,0.003
0.020,0.003
0.021,0.003
0.022,0.004
0.023,0.006
0.024,0.006
0.025,0.006
0.026,0.006
0.027,0.006
0.028,0.006
0.029,0.006
0.030,0.009
0.031,0.012
0.032,0.012
0.033,0.012
0.034,0.012
0.035,0.012
0.036,0.011
0.037,0.009
0.038,0.012
0.039,0.016
0.040,0.017
0.041,0.019
0.042,0.019
0.043,0.019
0.044,0.018
0.045,0.016
0.046,0.019
0.047,0.022
0.048,0.022
0.049,0.022
0.050,0.022
0.051,0.022
0.052,0.022
0.053,0.022
0.054,0.022
0.055,0.022
0.056,0.023
0.057,0.025
0.058,0.025
0.059,0.025
0.060,0.025
0.061,0.025
0.062,0.025
0.063,0.025
0.064,0.025
0.065,0.025
0.066,0.025
0.067,0.025
0.068,0.028
0.069,0.031
0.070,0.031
0.071,0.031
0.072,0.030
0.073,0.028
0.074,0.028
0.075,0.028
0.076,0.028
0.077,0.028
0.078,0.032
0.079,0.037
0.080,0.037
0.081,0.037
0.082,0.037
0.083,0.037
0.084,0.037
0.085,0.037
0.086,0.041
0.087,0.044
0.088,0.045
0.089,0.047
0.090,0.048
0.091,0.050
0.092,0.050
0.093,0.050
0.094,0.049
0.095,0.047
0.096,0.046
0.097,0.044
0.098,0.047
0.099,0.050
0.100,0.050
0.101,0.050
0.102,0.053
0.103,0.056
0.104,0.059
0.105,0.062
0.106,0.062
0.107,0.062
0.108,0.062
0.109,0.062
0.110,0.062
0.111,0.062
0.112,0.062
0.113,0.062
0.114,0.064
0.115,0.066
0.116,0.066
0.117,0.066
0.118,0.064
0.119,0.062
0.120,0.064
0.121,0.066
0.122,0.069
0.123,0.072
0.124,0.075
0.125,0.078
0.126,0.078
0.127,0.078
0.128,0.078
0.129,0.078
0.130,0.079
0.131,0.081
0.132,0.081
0.133,0.081
0.134,0.080
0.135,0.078
0.136,0.078
0.137,0.078
0.138,0.078
0.139,0.078
0.140,0.079
0.141,0.081
0.142,0.081
0.143,0.081
0.144,0.080
0.145,0.078
0.146,0.079
0.147,0.081
0.148,0.082
0.149,0.084
0.150,0.084
0.151,0.084
0.152,0.084
0.153,0.084
0.154,0.084
0.155,0.084
0.156,0.086
0.157,0.087
0.158,0.087
0.159,0.087
0.160,0.087
0.161,0.087
0.162,0.092
0.163,0.097
0.164,0.097
0.165,0.097
0.166,0.097
0.167,0.097
0.168,0.096
0.169,0.094
0.170,0.095
0.171,0.097
0.172,0.097
0.173,0.097
0.174,0.096
0.175,0.094
0.176,0.097
0.177,0.100
0.178,0.100
0.179,0.100
