'Elapsed time','II'
'seconds','mV'
0.000,-0.067
0.001,-0.063
0.002,-0.058
0.003,-0.056
0.004,-0.055
0.005,-0.056
0.006,-0.061
0.007,-0.063
0.008,-0.069
0.009,-0.081
0.010,-0.094
0.011,-0.106
0.012,-0.098
0.013,-0.100
0.014,-0.097
0.015,-0.094
0.016,-0.098
0.017,-0.100
0.018,-0.103
0.019,-0.109
0.020,-0.106
0.021,-0.103
0.022,-0.111
0.023,-0.119
0.024,-0.138
0.025,-0.153
0.026,-0.164
0.027,-0.175
0.028,-0.178
0.029,-0.184
0.030,-0.170
0.031,-0.156
0.032,-0.119
0.033,-0.084
0.034,-0.048
0.035,-0.013
0.036,0.044
0.037,0.100
0.038,0.153
0.039,0.203
0.040,0.259
0.041,0.316
0.042,0.374
0.043,0.437
0.044,0.525
0.045,0.612
0.046,0.711
0.047,0.806
0.048,0.897
0.049,0.987
0.050,1.081
0.051,1.169
0.052,1.232
0.053,1.291
0.054,1.305
0.055,1.322
0.056,1.359
0.057,1.403
0.058,1.469
0.059,1.528
0.060,1.566
0.061,1.600
0.062,1.647
0.063,1.672
0.064,1.639
0.065,1.591
0.066,1.434
0.067,1.281
0.068,1.134
0.069,0.994
0.070,0.862
0.071,0.734
0.072,0.605
0.073,0.484
0.074,0.367
0.075,0.259
0.076,0.196
0.077,0.137
0.078,0.100
0.079,0.062
0.080,0.025
0.081,-0.016
0.082,-0.054
0.083,-0.100
0.084,-0.166
0.085,-0.213
0.086,-0.245
0.087,-0.275
0.088,-0.297
0.089,-0.319
0.090,-0.323
0.091,-0.331
0.092,-0.323
0.093,-0.313
0.094,-0.306
0.095,-0.297
0.096,-0.288
0.097,-0.281
0.098,-0.258
0.099,-0.238
0.100,-0.218
0.101,-0.200
0.102,-0.189
0.103,-0.178
0.104,-0.161
0.105,-0.150
0.106,-0.136
0.107,-0.119
0.108,-0.117
0.109,-0.113
0.110,-0.111
0.111,-0.109
0.112,-0.105
0.113,-0.106
0.114,-0.096
0.115,-0.081
0.116,-0.081
0.117,-0.081
0.118,-0.077
0.119,-0.075
0.120,-0.059
0.121,-0.047
0.122,-0.039
0.123,-0.031
0.124,-0.019
0.125,-0.016
0.126,-0.026
0.127,-0.038
0.128,-0.044
0.129,-0.050
0.130,-0.053
0.131,-0.059
0.132,-0.053
0.133,-0.041
0.134,-0.036
0.135,-0.028
0.136,-0.021
0.137,-0.013
0.138,-0.008
0.139,-0.006
0.140,-0.009
0.141,-0.016
0.142,-0.017
0.143,-0.019
0.144,-0.029
0.145,-0.044
0.146,-0.047
0.147,-0.050
0.148,-0.043
0.149,-0.034
0.150,-0.024
0.151,-0.013
0.152,-0.006
0.153,-0.009
0.154,-0.009
0.155,-0.006
0.156,-0.009
0.157,-0.013
0.158,-0.013
0.159,-0.013
0.160,-0.014
0.161,-0.013
0.162,-0.013
0.163,-0.013
0.164,-0.014
0.165,-0.016
0.166,-0.009
0.167,-0.006
0.168,0.003
0.169,0.012
0.170,0.020
0.171,0.028
0.172,0.034
0.173,0.041
0.174,0.033
0.175,0.028
0.176,0.022
0.177,0.012
0.178,0.014
0.179,0.012
0.180,0.009
0.181,0.006
0.182,0.009
0.183,0.012
0.184,0.017
0.185,0.016
0.186,0.022
0.187,0.019
0.188,0.025
0.189,0.031
0.190,0.034
0.191,0.038
0.192,0.044
0.193,0.050
0.194,0.044
0.195,0.050
0.196,0.050
0.197,0.056
0.198,0.052
0.199,0.053
0.200,0.056
0.201,0.059
0.202,0.059
0.203,0.059
0.204,0.061
0.205,0.066
0.206,0.067
0.207,0.069
0.208,0.075
0.209,0.084
0.210,0.087
0.211,0.097
0.212,0.100
0.213,0.103
0.214,0.102
0.215,0.100
0.216,0.097
0.217,0.100
0.218,0.103
