'Elapsed time','II'
'seconds','mV'
0.000,2.053
0.001,2.075
0.002,2.097
0.003,2.119
0.004,2.028
0.005,1.937
0.006,1.771
0.007,1.603
0.008,1.417
0.009,1.231
0.010,1.091
0.011,0.950
0.012,0.796
0.013,0.641
0.014,0.494
0.015,0.347
0.016,0.246
0.017,0.144
0.018,0.112
0.019,0.081
0.020,0.062
0.021,0.044
0.022,0.014
0.023,-0.016
0.024,-0.041
0.025,-0.066
0.026,-0.055
0.027,-0.044
0.028,-0.027
0.029,-0.009
0.030,-0.017
0.031,-0.025
0.032,-0.044
0.033,-0.063
0.034,-0.064
0.035,-0.066
0.036,-0.059
0.037,-0.053
0.038,-0.069
0.039,-0.084
0.040,-0.106
0.041,-0.128
0.042,-0.128
0.043,-0.128
0.044,-0.102
0.045,-0.075
0.046,-0.072
0.047,-0.069
0.048,-0.084
0.049,-0.100
0.050,-0.109
0.051,-0.119
0.052,-0.102
0.053,-0.084
0.054,-0.091
0.055,-0.097
0.056,-0.116
0.057,-0.134
0.058,-0.144
0.059,-0.153
0.060,-0.127
0.061,-0.100
0.062,-0.086
0.063,-0.072
0.064,-0.079
0.065,-0.088
0.066,-0.104
0.067,-0.122
0.068,-0.109
0.069,-0.097
0.070,-0.093
0.071,-0.088
0.072,-0.101
0.073,-0.116
0.074,-0.136
0.075,-0.156
0.076,-0.134
0.077,-0.113
0.078,-0.093
0.079,-0.072
0.080,-0.073
0.081,-0.075
0.082,-0.092
0.083,-0.109
0.084,-0.103
0.085,-0.097
0.086,-0.086
0.087,-0.075
0.088,-0.086
0.089,-0.097
0.090,-0.116
0.091,-0.134
0.092,-0.131
0.093,-0.128
0.094,-0.102
0.095,-0.075
0.096,-0.072
0.097,-0.069
0.098,-0.079
0.099,-0.091
0.100,-0.097
0.101,-0.103
0.102,-0.083
0.103,-0.063
0.104,-0.069
0.105,-0.075
0.106,-0.095
0.107,-0.116
0.108,-0.123
0.109,-0.131
0.110,-0.102
0.111,-0.072
0.112,-0.061
0.113,-0.050
0.114,-0.061
0.115,-0.072
0.116,-0.084
0.117,-0.097
0.118,-0.080
0.119,-0.063
0.120,-0.061
0.121,-0.059
0.122,-0.070
0.123,-0.081
0.124,-0.103
0.125,-0.125
0.126,-0.106
0.127,-0.088
0.128,-0.068
0.129,-0.047
0.130,-0.051
0.131,-0.056
0.132,-0.073
0.133,-0.091
0.134,-0.084
0.135,-0.078
0.136,-0.063
0.137,-0.047
0.138,-0.054
0.139,-0.063
0.140,-0.081
0.141,-0.100
0.142,-0.100
0.143,-0.100
0.144,-0.072
0.145,-0.044
0.146,-0.039
0.147,-0.034
0.148,-0.044
0.149,-0.053
0.150,-0.066
0.151,-0.078
0.152,-0.055
0.153,-0.031
0.154,-0.036
0.155,-0.041
0.156,-0.063
0.157,-0.084
0.158,-0.091
0.159,-0.097
0.160,-0.069
0.161,-0.041
0.162,-0.027
0.163,-0.013
0.164,-0.019
0.165,-0.025
0.166,-0.041
0.167,-0.056
0.168,-0.041
0.169,-0.025
0.170,-0.021
0.171,-0.016
0.172,-0.029
0.173,-0.044
0.174,-0.059
0.175,-0.075
0.176,-0.055
0.177,-0.034
0.178,-0.014
0.179,0.006
0.180,0.006
0.181,0.006
0.182,-0.008
0.183,-0.022
0.184,-0.014
0.185,-0.006
0.186,0.004
0.187,0.016
0.188,0.011
0.189,0.006
0.190,-0.011
0.191,-0.028
0.192,-0.024
0.193,-0.019
0.194,0.011
0.195,0.041
0.196,0.045
0.197,0.050
0.198,0.039
0.199,0.028
0.200,0.022
0.201,0.016
0.202,0.041
0.203,0.066
0.204,0.062
0.205,0.059
0.206,0.044
0.207,0.028
0.208,0.025
0.209,0.022
0.210,0.051
0.211,0.081
0.212,0.095
0.213,0.109
0.214,0.105
0.215,0.100
0.216,0.086
0.217,0.072
0.218,0.092
0.219,0.112
0.220,0.122
0.221,0.131
0.222,0.119
0.223,0.106
0.224,0.091
0.225,0.075
0.226,0.098
0.227,0.122
0.228,0.144
0.229,0.166
0.230,0.166
0.231,0.166
0.232,0.155
0.233,0.144
0.234,0.148
0.235,0.153
0.236,0.158
0.237,0.184
0.238,0.178
0.239,0.175
0.240,0.158
0.241,0.134
0.242,0.159
0.243,0.169
0.244,0.178
0.245,0.209
0.246,0.222
0.247,0.225
0.248,0.225
0.249,0.209
0.250,0.212
0.251,0.206
0.252,0.220
0.253,0.241
0.254,0.255
0.255,0.250
0.256,0.234
0.257,0.212
0.258,0.205
0.259,0.200
0.260,0.219
0.261,0.231
0.262,0.262
0.263,0.275
0.264,0.256
0.265,0.253
0.266,0.224
0.267,0.200
0.268,0.217
0.269,0.222
0.270,0.232
0.271,0.228
0.272,0.203
0.273,0.194
0.274,0.162
0.275,0.134
0.276,0.142
0.277,0.159
0.278,0.178
0.279,0.184
0.280,0.158
0.281,0.153
0.282,0.134
0.283,0.109
0.284,0.104
0.285,0.103
0.286,0.109
0.287,0.106
0.288,0.083
0.289,0.075
0.290,0.059
0.291,0.028
0.292,0.014
0.293,0.016
0.294,0.039
0.295,0.053
0.296,0.053
0.297,0.047
0.298,0.031
0.299,0.009
0.300,-0.013
0.301,-0.028
0.302,-0.013
0.303,0.000
0.304,-0.003
0.305,-0.016
0.306,-0.025
0.307,-0.050
0.308,-0.073
0.309,-0.081
0.310,-0.066
0.311,-0.044
0.312,-0.018
0.313,-0.016
0.314,-0.038
0.315,-0.047
0.316,-0.072
0.317,-0.084
0.318,-0.066
0.319,-0.066
0.320,-0.044
0.321,-0.044
0.322,-0.058
0.323,-0.069
0.324,-0.101
0.325,-0.125
0.326,-0.102
0.327,-0.091
0.328,-0.068
0.329,-0.041
0.330,-0.046
0.331,-0.047
0.332,-0.076
0.333,-0.094
0.334,-0.089
0.335,-0.094
0.336,-0.077
0.337,-0.059
0.338,-0.064
0.339,-0.066
0.340,-0.100
0.341,-0.122
0.342,-0.114
0.343,-0.106
0.344,-0.109
0.345,-0.072
0.346,-0.059
0.347,-0.056
0.348,-0.070
0.349,-0.081
0.350,-0.088
0.351,-0.088
0.352,-0.088
0.353,-0.056
0.354,-0.054
0.355,-0.059
0.356,-0.073
0.357,-0.094
0.358,-0.108
0.359,-0.109
0.360,-0.096
0.361,-0.078
0.362,-0.049
0.363,-0.041
0.364,-0.058
0.365,-0.056
0.366,-0.079
0.367,-0.094
0.368,-0.075
0.369,-0.066
0.370,-0.052
0.371,-0.056
0.372,-0.075
0.373,-0.084
0.374,-0.116
0.375,-0.131
0.376,-0.109
0.377,-0.097
