'Elapsed time','II'
'seconds','mV'
0,-0.111
0.001,-0.084
0.002,-0.058
0.003,-0.031
0.004,-0.011
0.005,0.009
0.006,0.048
0.007,0.088
0.008,0.15
0.009,0.212
0.01,0.294
0.011,0.375
0.012,0.463
0.013,0.55
0.014,0.641
0.015,0.731
0.016,0.811
0.017,0.891
0.018,0.959
0.019,1.028
0.02,1.106
0.021,1.184
0.022,1.238
0.023,1.291
0.024,1.306
0.025,1.322
0.026,1.277
0.027,1.231
0.028,1.167
0.029,1.103
0.03,1.013
0.031,0.922
0.032,0.824
0.033,0.725
0.034,0.638
0.035,0.55
0.036,0.492
0.037,0.434
0.038,0.406
0.039,0.378
0.04,0.368
0.041,0.356
0.042,0.333
0.043,0.309
0.044,0.286
0.045,0.263
0.046,0.25
0.047,0.238
0.048,0.219
0.049,0.2
0.05,0.186
0.051,0.172
0.052,0.159
0.053,0.147
0.054,0.139
0.055,0.131
0.056,0.121
0.057,0.109
0.058,0.1
0.059,0.091
0.06,0.08
0.061,0.069
0.062,0.062
0.063,0.056
0.064,0.047
0.065,0.038
0.066,0.025
0.067,0.013
0.068,0.005
0.069,-0.003
0.07,-0.007
0.071,-0.013
0.072,-0.014
0.073,-0.016
0.074,-0.02
0.075,-0.025
0.076,-0.026
0.077,-0.028
0.078,-0.031
0.079,-0.034
0.08,-0.036
0.081,-0.038
0.082,-0.042
0.083,-0.047
0.084,-0.05
0.085,-0.053
0.086,-0.053
0.087,-0.053
0.088,-0.056
0.089,-0.059
0.09,-0.058
0.091,-0.056
0.092,-0.058
0.093,-0.059
0.094,-0.059
0.095,-0.059
0.096,-0.059
0.097,-0.059
0.098,-0.061
0.099,-0.062
0.1,-0.064
0.101,-0.066
0.102,-0.066
0.103,-0.066
0.104,-0.066
0.105,-0.066
0.106,-0.066
0.107,-0.066
0.108,-0.066
0.109,-0.066
0.11,-0.062
0.111,-0.059
0.112,-0.058
0.113,-0.056
0.114,-0.056
0.115,-0.056
0.116,-0.056
0.117,-0.056
0.118,-0.056
0.119,-0.056
0.12,-0.056
0.121,-0.056
0.122,-0.053
